Time,AccelerometerX
502.828,-0.7568359375
502.838,-0.70849609375
502.848,-0.6640625
502.858,-0.6259765625
502.868,-0.6015625
502.878,-0.5986328125
502.888,-0.615234375
502.898,-0.63671875
502.908,-0.64501953125
502.916,-0.63037109375
502.926,-0.60009765625
502.936,-0.57177734375
502.946,-0.55810546875
502.956,-0.55810546875
502.966,-0.56201171875
502.976,-0.5537109375
502.986,-0.5166015625
502.996,-0.443603515625
503.006,-0.349365234375
503.016,-0.25634765625
503.026,-0.17919921875
503.036,-0.1246337890625
503.046,-0.093017578125
503.056,-0.078369140625
503.066,-0.07427978515625
503.076,-0.07342529296875
503.086,-0.0697021484375
503.096,-0.07037353515625
503.106,-0.08612060546875
503.115,-0.11175537109375
503.125,-0.1365966796875
503.135,-0.1553955078125
503.145,-0.1641845703125
503.155,-0.1639404296875
503.165,-0.1627197265625
503.175,-0.1650390625
503.185,-0.1729736328125
503.195,-0.187255859375
503.205,-0.19189453125
503.215,-0.158447265625
503.225,-0.07733154296875
503.235,0.028961181640625
503.245,0.12335205078125
503.255,0.1705322265625
503.265,0.1451416015625
503.275,0.042572021484375
503.285,-0.11846923828125
503.295,-0.301513671875
503.305,-0.463134765625
503.309,-0.60498046875
503.319,-0.60791015625
503.329,-0.63134765625
503.339,-0.65185546875
503.349,-0.6494140625
503.359,-0.60595703125
503.369,-0.51171875
503.379,-0.376220703125
503.389,-0.233642578125
503.399,-0.11834716796875
503.409,-0.048553466796875
503.419,-0.0239715576171875
503.429,-0.034942626953125
503.439,-0.07391357421875
503.449,-0.13720703125
503.459,-0.2098388671875
503.468,-0.2626953125
503.478,-0.275146484375
503.488,-0.2451171875
503.498,-0.189453125
503.508,-0.1402587890625
503.518,-0.12298583984375
503.528,-0.1397705078125
503.538,-0.18017578125
503.548,-0.2330322265625
503.558,-0.28564453125
503.568,-0.320556640625
503.578,-0.320068359375
503.588,-0.2685546875
503.598,-0.1632080078125
503.608,-0.02056884765625
503.618,0.1312255859375
503.628,0.256591796875
503.638,0.3212890625
503.648,0.314208984375
503.658,0.2509765625
503.666,0.16015625
503.676,0.07257080078125
503.686,0.0112380981445312
503.696,-0.0152359008789062
503.706,-0.00751876831054688
503.716,0.020477294921875
503.726,0.038330078125
503.736,0.0129013061523438
503.746,-0.06854248046875
503.756,-0.188720703125
503.766,-0.314697265625
503.776,-0.41650390625
503.786,-0.475830078125
503.796,-0.49267578125
503.806,-0.476806640625
503.816,-0.427490234375
503.826,-0.34375
503.836,-0.2396240234375
503.846,-0.137939453125
503.856,-0.0592041015625
503.865,-0.0171356201171875
503.875,-0.0110244750976562
503.885,-0.0216217041015625
503.895,-0.0283660888671875
503.905,-0.02215576171875
503.915,0.000989913940429688
503.925,0.0400390625
503.935,0.0872802734375
503.945,0.130615234375
503.955,0.1494140625
503.965,0.12310791015625
503.975,0.054107666015625
503.985,-0.0295867919921875
503.995,-0.09503173828125
504.005,-0.12200927734375
504.015,-0.11224365234375
504.025,-0.0836181640625
504.035,-0.054290771484375
504.045,-0.039703369140625
504.055,-0.047637939453125
504.059,0.0252227783203125
504.069,0.07952880859375
504.079,0.1048583984375
504.089,0.097900390625
504.099,0.07208251953125
504.109,0.04229736328125
504.119,0.020477294921875
504.129,0.01873779296875
504.139,0.04541015625
504.149,0.09942626953125
504.159,0.1668701171875
504.169,0.2286376953125
504.179,0.27099609375
504.189,0.289306640625
504.199,0.286376953125
504.209,0.260986328125
504.218,0.2021484375
504.228,0.113037109375
504.238,0.0166015625
504.248,-0.06439208984375
504.258,-0.1146240234375
504.268,-0.1214599609375
504.278,-0.07598876953125
504.288,0.017608642578125
504.298,0.13427734375
504.308,0.2381591796875
504.318,0.299560546875
504.328,0.298583984375
504.338,0.2325439453125
504.348,0.121826171875
504.358,-0.00291252136230469
504.368,-0.114013671875
504.378,-0.1876220703125
504.388,-0.2109375
504.398,-0.189208984375
504.408,-0.1396484375
504.416,-0.07940673828125
504.426,-0.01983642578125
504.436,0.034454345703125
504.446,0.07843017578125
504.456,0.10406494140625
504.466,0.1051025390625
504.476,0.081298828125
504.486,0.043182373046875
504.496,0.0077972412109375
504.506,-0.01300048828125
504.516,-0.0136260986328125
504.526,0.0080108642578125
504.536,0.049713134765625
504.546,0.1015625
504.556,0.14453125
504.566,0.1629638671875
504.576,0.155517578125
504.586,0.128662109375
504.596,0.09063720703125
504.606,0.050933837890625
504.615,0.0178680419921875
504.625,-0.00157546997070312
504.635,-0.00634384155273438
504.645,-0.00545120239257812
504.655,-0.00751113891601562
504.665,-0.0137481689453125
504.675,-0.0210113525390625
504.685,-0.0233306884765625
504.695,-0.0180206298828125
504.705,-0.0079498291015625
504.715,0.00182533264160156
504.725,-0.00012505054473877
504.735,-0.0265960693359375
504.745,-0.0751953125
504.755,-0.1302490234375
504.765,-0.174072265625
504.775,-0.1884765625
504.785,-0.1629638671875
504.795,-0.1038818359375
504.805,-0.028839111328125
504.809,-0.0428466796875
504.819,-0.0987548828125
504.829,-0.1251220703125
504.839,-0.1326904296875
504.849,-0.158203125
504.859,-0.2139892578125
504.869,-0.2802734375
504.879,-0.315673828125
504.889,-0.27001953125
504.899,-0.1136474609375
504.909,0.1343994140625
504.919,0.40087890625
504.929,0.58642578125
504.939,0.62353515625
504.949,0.505859375
504.959,0.27978515625
504.968,0.0225067138671875
504.978,-0.218017578125
504.988,-0.45166015625
