Time,RPM
502.666,9882
502.686,9929
502.706,9948
502.726,9912
502.746,9885
502.763,9823
502.783,9824
502.803,9873
502.823,9890
502.843,9904
502.867,9825
502.887,9857
502.907,10150
502.927,10307
502.947,10387
502.966,10535
502.986,10573
503.006,10629
503.026,10651
503.046,10677
503.068,10700
503.088,10690
503.108,10656
503.128,10459
503.148,10190
503.166,9919
503.186,9787
503.206,9695
503.226,9617
503.246,9507
503.266,9357
503.286,9390
503.306,9609
503.326,9966
503.346,9922
503.364,9977
503.384,10270
503.404,10649
503.424,11042
503.444,10902
503.466,10334
503.486,10071
503.506,10067
503.526,10159
503.546,10275
503.566,10357
503.586,10381
503.606,10541
503.626,10821
503.646,11031
503.666,11041
503.686,10629
503.706,10234
503.726,10146
503.746,10101
503.766,10053
503.786,10226
503.806,10405
503.826,10359
503.846,10204
503.865,10139
503.885,10162
503.905,10199
503.925,10200
503.945,10266
503.965,10431
503.985,10477
504.005,10330
504.025,10306
504.045,10305
504.069,10288
504.089,10315
504.109,10356
504.129,10404
504.149,10436
504.167,10552
504.187,10695
504.207,10768
504.227,10672
504.247,10531
504.269,10555
504.289,10576
504.309,10591
504.329,10652
504.349,10630
504.365,10621
504.385,10584
504.405,10594
504.425,10631
504.445,10568
504.467,10476
504.487,10417
504.507,10453
504.527,10540
504.547,10567
504.564,10562
504.584,10552
504.604,10568
504.624,10574
504.644,10633
504.666,10681
504.686,10680
504.706,10697
504.726,10707
504.746,10774
504.766,10883
504.786,10968
504.806,10934
504.826,10970
504.846,11092
504.865,10968
504.885,11332
504.905,12172
504.925,12917
504.945,13490
504.964,13921
504.984,13921
505.004,5498
505.024,13777
505.044,3516
505.068,5518
505.088,12802
505.108,12531
505.128,12445
505.148,11463
505.167,11277
505.187,11500
505.207,11922
505.227,12519
505.247,13119
505.265,12590
505.285,11563
505.305,11242
505.325,11244
505.345,11274
505.366,11324
505.386,11396
505.406,11416
505.426,11449
505.446,11473
505.465,11505
505.485,11562
505.505,11587
505.525,11562
505.545,11570
505.569,11605
505.589,11688
505.609,11727
505.629,11750
505.649,11787
505.666,11797
505.686,11826
505.706,11889
505.726,11874
505.746,11856
505.767,11901
505.787,11883
505.807,11859
505.827,11891
505.847,11911
505.868,11920
505.888,11946
505.908,11967
505.928,11990
505.948,12014
505.968,12041
505.988,12042
506.008,12044
506.028,12070
506.048,12057
506.067,12080
506.087,12119
506.107,12150
506.127,12232
506.147,12291
506.166,12310
506.186,12291
506.206,12249
506.226,12248
506.246,12278
506.268,12319
506.288,12329
506.308,12364
506.328,12358
506.348,12348
506.365,12361
506.385,12392
506.405,12412
506.425,12427
506.445,12414
506.467,12421
506.487,12438
506.507,12490
506.527,12527
506.547,12530
506.568,12546
506.588,12573
506.608,12561
506.628,12612
506.648,12617
506.668,12642
506.688,12666
506.708,12699
506.728,12730
506.748,12717
506.767,12724
506.787,12746
506.807,12767
506.827,12836
506.847,12900
506.865,12873
506.885,12854
506.905,12851
506.925,12899
506.945,12929
506.967,12941
506.987,12950
507.007,12917
507.027,12922
507.047,12989
507.069,13083
507.089,13112
507.109,13050
507.129,13011
507.149,12994
507.166,12814
507.186,12561
507.206,12393
507.226,12085
507.246,11753
507.266,11238
507.286,10216
507.306,8843
507.326,7706
507.346,7502
507.367,7787
507.387,7484
507.407,6685
507.427,5894
507.447,6386
507.466,7287
507.486,7338
507.506,6844
507.526,6546
507.546,7178
507.565,8419
507.585,9094
507.605,8668
507.625,8003
507.645,8417
507.668,9390
507.688,9898
507.708,9672
507.728,9170
507.748,8893
507.764,9447
507.784,10021
507.804,9980
507.824,9682
507.844,9414
507.869,9371
507.889,9376
507.909,9332
507.929,9210
507.949,9148
507.967,9189
507.987,9320
508.007,9429
508.027,9395
508.047,9285
508.064,9026
508.084,8710
508.104,8538
508.124,8598
508.144,8903
508.167,8991
508.187,8889
508.207,8746
508.227,8578
508.247,8485
508.264,8378
508.284,8293
508.304,8219
508.324,8303
508.344,8390
508.365,8482
508.385,8457
508.405,8363
508.425,8245
508.445,8158
508.466,8106
508.486,8025
508.506,7985
508.526,7958
508.546,7985
508.564,7956
508.584,7870
508.604,7742
508.624,7614
508.644,7511
508.666,7497
508.686,7541
508.706,7594
508.726,7628
508.746,7661
508.768,7652
508.788,7669
508.808,7650
508.828,7621
508.848,7599
508.863,7525
508.883,7497
508.903,7424
508.923,7508
508.943,7321
508.968,7268
508.988,7532
509.008,7214
509.028,7419
509.048,7464
509.065,7585
509.085,7317
509.105,7147
509.125,7482
509.145,7454
509.163,7595
509.183,7596
509.203,7503
509.223,7495
509.243,7642
509.265,7778
509.285,7940
509.305,7967
509.325,7844
509.345,7803
509.364,7834
509.384,7927
509.404,8063
509.424,8200
509.444,8249
509.468,8290
509.488,8136
509.508,7955
509.528,7990
509.548,8084
509.564,8196
509.584,8231
509.604,8049
509.624,7877
509.644,7866
509.669,7910
509.689,8090
509.709,8311
509.729,8437
509.749,8238
509.764,8153
509.784,8187
509.804,8235
509.824,8296
509.844,8265
509.866,8339
509.886,8406
509.906,8422
509.926,8365
509.946,8340
509.966,8317
509.986,8303
510.006,8375
510.026,8427
510.046,8433
510.066,8385
510.086,8460
510.106,8571
510.126,8683
510.146,8542
510.164,8516
510.184,8609
510.204,8695
510.224,8700
510.244,8780
510.267,8829
510.287,8794
510.307,8792
510.327,8872
510.347,8953
510.369,8995
510.389,8975
510.409,8930
510.429,8849
510.449,8852
510.463,8885
510.483,9004
510.503,9170
510.523,9223
510.543,9049
510.569,8946
510.589,8911
510.609,8981
510.629,9113
510.649,9224
510.668,9208
510.688,9213
510.708,9221
510.728,9244
510.748,9112
510.766,9102
510.786,9290
510.806,9653
510.826,10278
510.846,10636
510.868,10169
510.888,9828
510.908,9846
510.928,9849
510.948,9729
510.966,9862
510.986,9940
511.006,9689
511.026,9654
511.046,9782
511.069,10127
511.089,10303
511.109,10491
511.129,10347
511.149,10037
511.169,10003
511.189,10270
511.209,10615
511.229,10692
511.249,10318
511.267,10269
511.287,10274
511.307,10381
