Time,AccelerometerY
517.175,-0.97607421875
517.185,-0.95703125
517.195,-0.9140625
517.205,-0.85546875
517.215,-0.79443359375
517.225,-0.73779296875
517.235,-0.6904296875
517.245,-0.67041015625
517.255,-0.70458984375
517.265,-0.79638671875
517.275,-0.92431640625
517.285,-1.0556640625
517.295,-1.169921875
517.305,-1.2587890625
517.315,-1.310546875
517.325,-1.3056640625
517.335,-1.2275390625
517.345,-1.083984375
517.355,-0.9091796875
517.359,-0.310791015625
517.369,-0.288818359375
517.379,-0.281494140625
517.389,-0.2802734375
517.399,-0.29150390625
517.409,-0.322509765625
517.419,-0.364501953125
517.429,-0.400634765625
517.439,-0.426513671875
517.449,-0.45263671875
517.459,-0.492431640625
517.469,-0.544921875
517.479,-0.5849609375
517.489,-0.57666015625
517.499,-0.50634765625
517.509,-0.3916015625
517.518,-0.274658203125
517.528,-0.19970703125
517.538,-0.1839599609375
517.548,-0.214111328125
517.558,-0.26171875
517.568,-0.29736328125
517.578,-0.3046875
517.588,-0.2900390625
517.598,-0.272705078125
517.608,-0.2744140625
517.618,-0.3095703125
517.628,-0.37548828125
517.638,-0.458740234375
517.648,-0.5556640625
517.658,-0.673828125
517.668,-0.8125
517.678,-0.9482421875
517.688,-1.04296875
517.698,-1.0771484375
517.708,-1.0712890625
517.717,-1.0595703125
517.727,-1.056640625
517.737,-1.060546875
517.747,-1.0830078125
517.757,-1.146484375
517.767,-1.24609375
517.777,-1.353515625
517.787,-1.453125
517.797,-1.546875
517.807,-1.6279296875
517.817,-1.673828125
517.827,-1.666015625
517.837,-1.607421875
517.847,-1.5126953125
517.857,-1.39453125
517.867,-1.26953125
517.877,-1.154296875
517.887,-1.0615234375
517.897,-0.998046875
517.907,-0.96875
517.915,-0.9736328125
517.925,-1.00390625
517.935,-1.033203125
517.945,-1.0439453125
517.955,-1.0390625
517.965,-1.0458984375
517.975,-1.0771484375
517.985,-1.1220703125
517.995,-1.1640625
518.005,-1.193359375
518.015,-1.203125
518.025,-1.1953125
518.035,-1.1806640625
518.045,-1.17578125
518.055,-1.1826171875
518.065,-1.1904296875
518.075,-1.18359375
518.085,-1.150390625
518.095,-1.095703125
518.105,-1.037109375
518.109,-1.12890625
518.119,-1.205078125
518.129,-1.283203125
518.139,-1.345703125
518.149,-1.375
518.159,-1.3662109375
518.169,-1.3193359375
518.179,-1.251953125
518.189,-1.19140625
518.199,-1.1611328125
518.209,-1.1689453125
518.219,-1.2138671875
518.229,-1.30078125
518.239,-1.431640625
518.249,-1.595703125
518.259,-1.7666015625
518.268,-1.90625
518.278,-1.9951171875
518.288,-2.037109375
518.298,-2.05078125
518.308,-2.046875
518.318,-2.017578125
518.328,-1.947265625
518.338,-1.822265625
518.348,-1.64453125
518.358,-1.4384765625
518.368,-1.236328125
518.378,-1.0634765625
518.388,-0.93359375
518.398,-0.86474609375
518.408,-0.875
518.418,-0.95947265625
518.428,-1.087890625
518.438,-1.23046875
518.448,-1.37890625
518.458,-1.5263671875
518.467,-1.654296875
518.477,-1.7421875
518.487,-1.78515625
518.497,-1.7958984375
518.507,-1.7939453125
518.517,-1.787109375
518.527,-1.765625
518.537,-1.716796875
518.547,-1.640625
518.557,-1.54296875
518.567,-1.4267578125
518.577,-1.296875
518.587,-1.1630859375
518.597,-1.0439453125
518.607,-0.95166015625
518.617,-0.890625
518.627,-0.86572265625
518.637,-0.8857421875
518.647,-0.9521484375
518.657,-1.05078125
518.665,-1.1552734375
518.675,-1.236328125
518.685,-1.2822265625
518.695,-1.298828125
518.705,-1.296875
518.715,-1.2841796875
518.725,-1.2724609375
518.735,-1.2841796875
518.745,-1.3291015625
518.755,-1.396484375
518.765,-1.4658203125
518.775,-1.529296875
518.785,-1.5966796875
518.795,-1.6708984375
518.805,-1.7353515625
518.815,-1.7705078125
518.825,-1.76953125
518.835,-1.7373046875
518.845,-1.671875
518.855,-1.5693359375
518.859,-1.212890625
518.869,-1.291015625
518.879,-1.3818359375
518.889,-1.4814453125
518.899,-1.6005859375
518.909,-1.7451171875
518.919,-1.8955078125
518.929,-2.025390625
518.939,-2.140625
518.949,-2.267578125
518.959,-2.41015625
518.969,-2.533203125
518.979,-2.59765625
518.989,-2.603515625
518.999,-2.58984375
519.009,-2.595703125
519.018,-2.61328125
519.028,-2.60546875
519.038,-2.533203125
519.048,-2.3984375
519.058,-2.21875
519.068,-2.01171875
519.078,-1.783203125
519.088,-1.5693359375
519.098,-1.427734375
519.108,-1.380859375
519.118,-1.40625
519.128,-1.4580078125
519.138,-1.5048828125
519.148,-1.55859375
519.158,-1.6630859375
519.168,-1.81640625
519.178,-1.9404296875
519.188,-1.962890625
519.198,-1.8837890625
519.208,-1.7578125
519.216,-1.64453125
519.226,-1.5830078125
519.236,-1.5771484375
519.246,-1.615234375
519.256,-1.701171875
519.266,-1.845703125
519.276,-2.01953125
519.286,-2.146484375
519.296,-2.185546875
519.306,-2.177734375
519.316,-2.19921875
519.326,-2.279296875
519.336,-2.376953125
519.346,-2.43359375
519.356,-2.431640625
519.366,-2.400390625
519.376,-2.361328125
519.386,-2.306640625
519.396,-2.208984375
519.406,-2.068359375
519.415,-1.916015625
519.425,-1.7783203125
519.435,-1.65625
519.445,-1.5380859375
519.455,-1.43359375
519.465,-1.3857421875
519.475,-1.4384765625
519.485,-1.576171875
519.495,-1.7470703125
519.505,-1.9189453125
519.515,-2.09765625
519.525,-2.2890625
519.535,-2.474609375
519.545,-2.6171875
519.555,-2.7109375
519.565,-2.767578125
519.575,-2.80078125
519.585,-2.82421875
519.595,-2.841796875
519.605,-2.84765625
519.609,-2.587890625
519.619,-2.408203125
519.629,-2.173828125
519.639,-1.8701171875
519.649,-1.5068359375
519.659,-1.146484375
519.669,-0.8857421875
519.679,-0.79443359375
519.689,-0.88525390625
519.699,-1.1220703125
519.709,-1.447265625
519.719,-1.794921875
519.729,-2.09765625
519.739,-2.2890625
519.749,-2.328125
519.759,-2.25
519.768,-2.13671875
519.778,-2.037109375
519.788,-1.935546875
519.798,-1.7900390625
519.808,-1.5927734375
519.818,-1.3740234375
519.828,-1.171875
519.838,-1.0048828125
519.848,-0.88232421875
519.858,-0.81982421875
