Time,Water_Temp
344.841,46.4375
344.891,46.4375
344.941,46.4375
344.991,46.4375
345.04,46.46875
345.09,46.4375
345.14,46.375
345.19,46.3125
345.24,46.28125
345.29,46.21875
345.34,46.1875
345.39,46.1875
345.44,46.21875
345.49,46.28125
345.54,46.34375
345.59,46.375
345.64,46.40625
345.69,46.40625
345.74,46.40625
345.79,46.40625
345.84,46.375
345.89,46.40625
345.94,46.40625
345.99,46.4375
346.04,46.46875
346.09,46.5
346.14,46.53125
346.19,46.53125
346.24,46.53125
346.29,46.53125
346.34,46.53125
346.39,46.5625
346.44,46.5625
346.49,46.5625
346.54,46.5625
346.59,46.5625
346.64,46.59375
346.69,46.59375
346.74,46.59375
346.79,46.59375
346.84,46.59375
346.89,46.5625
346.94,46.5625
346.99,46.53125
347.04,46.5
347.09,46.5
347.14,46.53125
347.19,46.5625
347.24,46.625
347.29,46.6875
347.34,46.75
347.39,46.8125
347.44,46.84375
347.49,46.84375
347.54,46.8125
347.59,46.75
347.639,46.6875
347.689,46.625
347.739,46.5625
347.789,46.53125
347.839,46.5
347.889,46.53125
347.939,46.5625
347.989,46.59375
348.039,46.65625
348.089,46.71875
348.139,46.78125
348.189,46.84375
348.239,46.875
348.289,46.90625
348.339,46.90625
348.389,46.875
348.439,46.875
348.489,46.875
348.539,46.875
348.589,46.875
348.639,46.875
348.689,46.875
348.739,46.875
348.789,46.84375
348.839,46.8125
348.889,46.75
348.939,46.6875
348.989,46.625
349.039,46.59375
349.089,46.625
349.139,46.625
349.189,46.65625
349.239,46.71875
349.289,46.75
349.339,46.78125
349.389,46.84375
349.439,46.875
349.489,46.875
349.539,46.875
349.589,46.875
349.639,46.875
349.689,46.875
349.739,46.90625
349.789,46.9375
349.839,46.96875
349.889,46.96875
349.939,46.96875
349.989,46.96875
350.039,47
350.089,47
350.139,47.03125
350.189,47.0625
350.239,47.09375
350.288,47.15625
350.338,47.1875
350.388,47.21875
350.438,47.25
350.488,47.25
350.538,47.21875
350.588,47.1875
350.638,47.15625
350.688,47.09375
350.738,47.03125
350.788,46.96875
350.838,46.90625
350.888,46.875
350.938,46.875
350.988,46.90625
351.038,46.9375
351.088,46.96875
351.138,46.96875
351.188,46.96875
351.238,46.96875
351.288,46.9375
351.338,46.90625
351.388,46.90625
351.438,46.9375
351.488,46.96875
351.538,47
351.588,47.03125
351.638,47.0625
351.688,47.09375
351.738,47.125
351.788,47.125
351.838,47.125
351.888,47.09375
351.938,47.0625
351.988,47.03125
352.038,47
352.088,47
352.138,47
352.188,47.03125
352.238,47.03125
352.288,47.0625
352.338,47.0625
352.388,47.0625
352.438,47.0625
352.488,47.0625
352.538,47.03125
352.588,47
352.638,46.96875
352.688,46.96875
352.738,46.96875
352.788,47.03125
352.838,47.0625
352.888,47.125
352.937,47.1875
352.987,47.21875
353.037,47.25
353.087,47.25
353.137,47.21875
353.187,47.1875
353.237,47.1875
353.287,47.1875
353.337,47.1875
353.387,47.1875
353.437,47.1875
353.487,47.1875
353.537,47.15625
353.587,47.125
353.637,47.125
353.687,47.09375
353.737,47.0625
353.787,47.0625
353.837,47.0625
353.887,47.09375
353.937,47.15625
353.987,47.21875
354.037,47.28125
354.087,47.3125
354.137,47.34375
354.187,47.3125
354.237,47.28125
354.287,47.21875
354.337,47.1875
354.387,47.15625
354.437,47.15625
354.487,47.15625
354.537,47.15625
354.587,47.1875
354.637,47.21875
354.687,47.21875
354.737,47.25
354.787,47.25
354.837,47.25
354.887,47.25
354.937,47.25
354.987,47.21875
355.037,47.1875
355.087,47.1875
355.137,47.15625
355.187,47.1875
355.237,47.1875
355.287,47.1875
355.337,47.21875
355.387,47.21875
355.437,47.25
355.487,47.28125
355.536,47.34375
355.586,47.375
355.636,47.40625
355.686,47.4375
355.736,47.4375
355.786,47.46875
355.836,47.46875
355.886,47.46875
355.936,47.46875
355.986,47.46875
356.036,47.5
356.086,47.5
356.136,47.53125
356.186,47.5625
356.236,47.5625
356.286,47.59375
356.336,47.625
356.386,47.625
356.436,47.625
356.486,47.59375
356.536,47.5625
356.586,47.53125
356.636,47.5
