Time,AccelerometerZ
372.343,-1.02734375
372.353,-1.03515625
372.363,-1.048828125
372.373,-1.0771484375
372.383,-1.126953125
372.393,-1.1904296875
372.403,-1.251953125
372.413,-1.298828125
372.423,-1.330078125
372.433,-1.3564453125
372.443,-1.384765625
372.453,-1.408203125
372.463,-1.42578125
372.473,-1.4404296875
372.482,-1.4541015625
372.492,-1.4658203125
372.502,-1.478515625
372.512,-1.494140625
372.522,-1.5029296875
372.532,-1.4921875
372.542,-1.45703125
372.552,-1.404296875
372.562,-1.3466796875
372.572,-1.2978515625
372.582,-1.26953125
372.592,-1.26171875
372.602,-1.265625
372.612,-1.2685546875
372.622,-1.2607421875
372.632,-1.240234375
372.642,-1.2109375
372.652,-1.1845703125
372.662,-1.1865234375
372.672,-1.2373046875
372.681,-1.328125
372.691,-1.4287109375
372.701,-1.51171875
372.711,-1.5625
372.721,-1.5712890625
372.731,-1.541015625
372.741,-1.4931640625
372.751,-1.4609375
372.761,-1.4716796875
372.771,-1.5302734375
372.781,-1.623046875
372.791,-1.720703125
372.801,-1.8017578125
372.811,-1.8720703125
372.821,-1.9345703125
372.831,-1.9873046875
372.841,-2.025390625
372.851,-2.044921875
372.861,-2.037109375
372.871,-1.998046875
372.879,-1.9296875
372.889,-1.84375
372.899,-1.76171875
372.909,-1.6953125
372.919,-1.6484375
372.929,-1.615234375
372.939,-1.5859375
372.949,-1.5498046875
372.959,-1.5078125
372.969,-1.458984375
372.979,-1.3994140625
372.989,-1.328125
372.999,-1.25390625
373.009,-1.1865234375
373.019,-1.130859375
373.029,-1.0830078125
373.039,-1.0400390625
373.049,-1.0078125
373.059,-0.99951171875
373.069,-1.021484375
373.073,-1.2724609375
373.083,-1.3095703125
373.093,-1.345703125
373.103,-1.376953125
373.113,-1.39453125
373.123,-1.3984375
373.133,-1.3896484375
373.143,-1.36328125
373.153,-1.314453125
373.163,-1.251953125
373.173,-1.185546875
373.183,-1.1240234375
373.193,-1.0693359375
373.203,-1.01953125
373.213,-0.9609375
373.223,-0.87451171875
373.233,-0.7412109375
373.243,-0.55712890625
373.253,-0.3701171875
373.263,-0.272216796875
373.273,-0.316162109375
373.283,-0.4267578125
373.293,-0.462890625
373.303,-0.38818359375
373.313,-0.33544921875
373.323,-0.4892578125
373.333,-0.88525390625
373.343,-1.3251953125
373.353,-1.53125
373.363,-1.40234375
373.373,-1.1064453125
373.383,-0.91015625
373.393,-0.90966796875
373.403,-0.9736328125
373.413,-0.90869140625
373.423,-0.6572265625
373.431,-0.34765625
373.441,-0.178466796875
373.451,-0.257080078125
373.461,-0.5302734375
373.471,-0.84521484375
373.481,-1.0576171875
373.491,-1.1103515625
373.501,-1.0546875
373.511,-1.0205078125
373.521,-1.1005859375
373.531,-1.287109375
373.541,-1.5068359375
373.551,-1.6767578125
373.561,-1.75
373.571,-1.7392578125
373.581,-1.673828125
373.591,-1.5947265625
373.601,-1.5732421875
373.611,-1.6787109375
373.621,-1.90625
373.629,-2.1796875
373.639,-2.4140625
373.649,-2.552734375
373.659,-2.576171875
373.669,-2.478515625
373.679,-2.287109375
373.689,-2.064453125
373.699,-1.8798828125
373.709,-1.7939453125
373.719,-1.84765625
373.729,-2.04296875
373.739,-2.3203125
373.749,-2.580078125
373.759,-2.716796875
373.769,-2.693359375
373.779,-2.53515625
373.789,-2.328125
373.799,-2.150390625
373.809,-2.046875
373.819,-2.029296875
373.823,-1.751953125
373.833,-1.490234375
373.843,-1.251953125
373.853,-1.0615234375
373.863,-0.91552734375
373.873,-0.79443359375
373.883,-0.69384765625
373.893,-0.63427734375
373.903,-0.63232421875
373.913,-0.67529296875
373.923,-0.7353515625
373.933,-0.79638671875
373.943,-0.85009765625
373.953,-0.9033203125
373.963,-0.98876953125
373.973,-1.1318359375
373.982,-1.310546875
373.992,-1.443359375
374.002,-1.4140625
374.012,-1.1328125
374.022,-0.6044921875
374.032,0.052154541015625
374.042,0.64208984375
374.052,0.99267578125
374.062,1.0458984375
374.072,0.85009765625
374.082,0.482666015625
374.092,0.0107192993164062
374.102,-0.488525390625
374.112,-0.92138671875
374.122,-1.2216796875
374.132,-1.3857421875
374.142,-1.4501953125
374.152,-1.4765625
374.162,-1.5322265625
374.172,-1.6611328125
374.181,-1.8662109375
374.191,-2.12890625
374.201,-2.41015625
374.211,-2.65234375
374.221,-2.77734375
374.231,-2.732421875
374.241,-2.52734375
374.251,-2.240234375
374.261,-1.9560546875
374.271,-1.7294921875
374.281,-1.572265625
374.291,-1.453125
374.301,-1.353515625
374.311,-1.302734375
374.321,-1.33203125
374.331,-1.4033203125
374.341,-1.4375
374.351,-1.3955078125
374.361,-1.30078125
374.371,-1.2041015625
374.379,-1.1337890625
374.389,-1.09375
374.399,-1.080078125
374.409,-1.0986328125
374.419,-1.1533203125
374.429,-1.2314453125
374.439,-1.31640625
374.449,-1.4111328125
374.459,-1.515625
374.469,-1.615234375
374.479,-1.6875
374.489,-1.71875
374.499,-1.71484375
374.509,-1.685546875
374.519,-1.6396484375
374.529,-1.5712890625
374.539,-1.4716796875
374.549,-1.3466796875
374.559,-1.212890625
374.569,-1.0830078125
374.573,-0.66162109375
374.583,-0.60693359375
374.593,-0.56982421875
374.603,-0.56103515625
374.613,-0.59375
374.623,-0.673828125
374.633,-0.7890625
374.643,-0.916015625
374.653,-1.0322265625
374.663,-1.1142578125
374.673,-1.1474609375
374.683,-1.1416015625
374.693,-1.12109375
374.703,-1.10546875
374.713,-1.1171875
374.723,-1.1640625
374.732,-1.2412109375
374.742,-1.3427734375
374.752,-1.4736328125
374.762,-1.6259765625
374.772,-1.767578125
374.782,-1.86328125
374.792,-1.8974609375
374.802,-1.87890625
374.812,-1.833984375
374.822,-1.78515625
374.832,-1.7373046875
374.842,-1.6845703125
374.852,-1.6240234375
374.862,-1.5654296875
374.872,-1.513671875
374.882,-1.4658203125
374.892,-1.4287109375
374.902,-1.4150390625
374.912,-1.4267578125
374.922,-1.4609375
374.93,-1.5146484375
374.94,-1.580078125
374.95,-1.6357421875
374.96,-1.66796875
374.97,-1.677734375
374.98,-1.6689453125
374.99,-1.6376953125
375,-1.5830078125
375.01,-1.51171875
375.02,-1.4404296875
375.03,-1.3857421875
375.04,-1.34375
375.05,-1.30859375
375.06,-1.28125
375.07,-1.26171875
375.08,-1.2470703125
375.09,-1.232421875
375.1,-1.2236328125
375.11,-1.23046875
375.12,-1.248046875
375.129,-1.2607421875
375.139,-1.251953125
375.149,-1.21484375
375.159,-1.142578125
375.169,-1.037109375
375.179,-0.91943359375
375.189,-0.83447265625
375.199,-0.81982421875
375.209,-0.87255859375
375.219,-0.9609375
375.229,-1.0556640625
375.239,-1.1513671875
375.249,-1.25390625
375.259,-1.359375
375.269,-1.4560546875
375.279,-1.541015625
375.289,-1.61328125
375.299,-1.6572265625
375.309,-1.6591796875
375.319,-1.6181640625
375.323,-1.2724609375
375.333,-1.216796875
375.343,-1.1318359375
375.353,-1.033203125
375.363,-0.94921875
375.373,-0.89306640625
375.383,-0.873046875
375.393,-0.89990234375
375.403,-0.9736328125
375.413,-1.08203125
375.423,-1.21484375
375.433,-1.35546875
375.443,-1.470703125
375.453,-1.5234375
375.463,-1.49609375
375.473,-1.40625
375.482,-1.2900390625
375.492,-1.185546875
375.502,-1.12109375
375.512,-1.0966796875
375.522,-1.0810546875
375.532,-1.04296875
375.542,-0.98779296875
375.552,-0.93359375
375.562,-0.87890625
375.572,-0.8056640625
375.582,-0.72216796875
375.592,-0.6708984375
375.602,-0.68408203125
375.612,-0.7392578125
375.622,-0.7734375
375.632,-0.74267578125
375.642,-0.65869140625
375.652,-0.576171875
375.662,-0.54541015625
375.672,-0.5751953125
375.68,-0.6396484375
375.69,-0.70947265625
375.7,-0.76806640625
375.71,-0.8115234375
375.72,-0.84228515625
375.73,-0.865234375
375.74,-0.88037109375
375.75,-0.875
375.76,-0.83251953125
375.77,-0.755859375
375.78,-0.66796875
375.79,-0.58984375
375.8,-0.52978515625
375.81,-0.49560546875
375.82,-0.493408203125
375.83,-0.52392578125
375.84,-0.59130859375
375.85,-0.70751953125
375.86,-0.87939453125
375.87,-1.08984375
375.879,-1.296875
375.889,-1.453125
375.899,-1.5322265625
375.909,-1.5263671875
375.919,-1.447265625
375.929,-1.314453125
375.939,-1.1611328125
375.949,-1.0263671875
375.959,-0.93701171875
375.969,-0.8916015625
375.979,-0.87158203125
375.989,-0.86279296875
375.999,-0.86376953125
376.009,-0.87109375
376.019,-0.8759765625
376.029,-0.8828125
376.039,-0.912109375
376.049,-0.98193359375
376.059,-1.080078125
376.069,-1.1650390625
376.073,-1.0068359375
376.083,-0.96630859375
376.093,-0.92919921875
376.103,-0.888671875
376.113,-0.8310546875
376.123,-0.7568359375
376.133,-0.69873046875
376.143,-0.69873046875
376.153,-0.76806640625
376.163,-0.88427734375
376.173,-1.013671875
376.183,-1.134765625
376.193,-1.23828125
376.203,-1.3125
376.213,-1.3466796875
376.223,-1.34375
376.232,-1.3251953125
376.242,-1.3076171875
376.252,-1.2880859375
376.262,-1.26171875
376.272,-1.232421875
376.282,-1.2041015625
376.292,-1.1640625
376.302,-1.0927734375
376.312,-0.98193359375
376.322,-0.8515625
376.332,-0.73486328125
376.342,-0.64404296875
376.352,-0.57275390625
376.362,-0.53076171875
376.372,-0.54345703125
376.382,-0.6279296875
376.392,-0.775390625
376.402,-0.9541015625
376.412,-1.1259765625
376.422,-1.2685546875
376.43,-1.3828125
376.44,-1.458984375
376.45,-1.4794921875
376.46,-1.4423828125
376.47,-1.36328125
376.48,-1.251953125
376.49,-1.111328125
376.5,-0.95458984375
376.51,-0.80810546875
376.52,-0.6884765625
376.53,-0.57861328125
376.54,-0.437255859375
376.55,-0.23291015625
376.56,0.00142097473144531
376.57,0.1658935546875
376.58,0.1676025390625
376.59,-0.0179901123046875
376.6,-0.35302734375
376.61,-0.7587890625
376.62,-1.130859375
376.629,-1.3740234375
376.639,-1.4453125
376.649,-1.3583984375
376.659,-1.1494140625
376.669,-0.8583984375
376.679,-0.548828125
376.689,-0.296630859375
376.699,-0.15673828125
376.709,-0.1376953125
376.719,-0.1983642578125
376.729,-0.279052734375
376.739,-0.3349609375
376.749,-0.34228515625
376.759,-0.29345703125
376.769,-0.19140625
376.779,-0.052886962890625
376.789,0.08917236328125
376.799,0.196533203125
376.809,0.2432861328125
376.819,0.224365234375
376.823,-0.32763671875
376.833,-0.403076171875
376.843,-0.455078125
376.853,-0.488525390625
376.863,-0.5087890625
376.873,-0.5205078125
376.883,-0.52978515625
376.893,-0.54833984375
376.903,-0.5859375
376.913,-0.64990234375
376.923,-0.73828125
376.933,-0.83251953125
376.943,-0.90625
376.953,-0.94091796875
376.963,-0.93798828125
376.973,-0.91064453125
376.982,-0.8779296875
376.992,-0.8583984375
377.002,-0.85888671875
377.012,-0.876953125
377.022,-0.9130859375
377.032,-0.97412109375
377.042,-1.0517578125
377.052,-1.1279296875
377.062,-1.18359375
377.072,-1.21484375
377.082,-1.2294921875
377.092,-1.2353515625
377.102,-1.2392578125
377.112,-1.2470703125
377.122,-1.26171875
377.132,-1.283203125
377.142,-1.3056640625
