Time,GPS_Gyro
352.9,-50.2384452819824
353,-46.9706878662109
353.1,-45.0603981018066
353.2,-45.1425018310547
353.3,-47.9197540283203
353.4,-51.3347549438477
353.5,-52.1026916503906
353.6,-50.5330352783203
353.7,-47.5189323425293
353.8,-42.8096618652344
353.9,-37.6057777404785
354,-31.8031578063965
354.1,-23.6237201690674
354.2,-14.9665613174438
354.3,-5.82255792617798
354.4,4.17291736602783
354.5,12.7114686965942
354.6,18.9051971435547
354.7,23.5175399780273
354.8,25.5174598693848
354.9,25.5527858734131
355,23.8391647338867
355.1,20.876823425293
355.2,17.6975879669189
355.3,14.9707870483398
355.4,13.1437206268311
355.5,13.2952899932861
355.6,13.8257884979248
355.7,13.547287940979
355.8,11.1267423629761
355.9,6.82239770889282
356,1.27117955684662
356.1,-3.94579148292542
356.2,-8.70394134521484
356.3,-12.4228086471558
356.4,-15.1281681060791
356.5,-14.9231548309326
356.6,-12.3239393234253
356.7,-9.47132015228271
356.8,-7.34009170532227
356.9,-7.68973016738892
357,-11.5056943893433
357.1,-17.6555938720703
357.2,-23.224781036377
357.3,-26.784782409668
357.4,-29.0391063690186
357.5,-30.2350254058838
357.6,-31.3318576812744
357.7,-33.7444190979004
357.8,-38.2060813903809
357.9,-43.7920761108398
358,-49.2120246887207
358.1,-52.8402519226074
358.2,-54.9683990478516
358.3,-54.8144912719727
358.4,-53.3444557189941
358.5,-52.4114723205566
358.6,-56.9657440185547
358.7,-63.9286499023438
358.8,-71.5011291503906
358.9,-76.5781021118164
359,-74.3544158935547
359.1,-72.0727462768555
359.2,-71.5547485351562
359.3,-71.2503433227539
359.4,-67.0631942749023
359.5,-58.7432136535645
359.6,-52.0921974182129
359.7,-50.3458518981934
359.8,-55.5843887329102
359.9,-65.302375793457
360,-67.7159118652344
360.1,-60.7332191467285
360.2,-50.9447860717773
360.3,-40.9461936950684
360.4,-33.4234313964844
360.5,-28.381383895874
360.6,-24.1563053131104
360.7,-20.4684410095215
360.8,-17.7383651733398
360.9,-15.7940759658813
361,-13.4027633666992
361.1,-9.46111392974854
361.2,-5.11419677734375
361.3,-1.12602126598358
361.4,1.86631679534912
361.5,3.09686231613159
361.6,2.5796320438385
361.7,1.32948744297028
361.8,-0.338379442691803
361.9,-1.72283625602722
362,-2.00622463226318
362.1,-0.202266946434975
362.2,3.2754054069519
362.3,9.27730655670166
362.4,16.8548526763916
362.5,23.6576194763184
362.6,28.4082527160645
362.7,31.7620296478271
362.8,33.6036796569824
362.9,34.6986694335938
363,35.6390800476074
363.1,36.5707817077637
363.2,37.657356262207
363.3,38.7316284179688
363.4,39.3849487304688
363.5,39.9116477966309
363.6,40.5321159362793
363.7,42.3285903930664
363.8,46.0462799072266
363.9,51.5333557128906
364,54.0919609069824
364.1,51.2374076843262
364.2,46.6673812866211
364.3,42.4012794494629
364.4,40.5942497253418
364.5,40.6796760559082
364.6,40.4595794677734
364.7,39.6835136413574
364.8,38.245548248291
364.9,36.6343841552734
365,35.072395324707
365.1,33.8981895446777
365.2,32.1999549865723
365.3,29.3618144989014
