Time,GPS_Longitude
266.9,12.1516353767259
267,12.1516393650288
267.1,12.151641857495
267.2,12.1516425821787
267.3,12.1516414906909
267.4,12.1516380769227
267.5,12.1516322757496
267.6,12.151624807018
267.7,12.1516156231386
267.8,12.1516045373696
267.9,12.1515913432848
268,12.1515772319804
268.1,12.1515612483677
268.2,12.1515434951668
268.3,12.1515245280018
268.4,12.15150486455
268.5,12.1514840720513
268.6,12.1514630986913
268.7,12.1514420073128
268.8,12.1514206945747
268.9,12.1513999264474
269,12.1513793917217
269.1,12.1513594635977
269.2,12.1513401555898
269.3,12.1513214508084
269.4,12.1513043413352
269.5,12.1512885440717
269.6,12.1512736877933
269.7,12.1512599150453
269.8,12.1512474934887
269.9,12.1512368924206
270,12.151228329682
270.1,12.1512210471629
270.2,12.1512144083819
270.3,12.1512076322215
270.4,12.1511989979607
270.5,12.151189355492
270.6,12.1511785749262
270.7,12.1511667215792
270.8,12.1511539131162
270.9,12.1511395996613
271,12.1511242125674
271.1,12.1511078957299
271.2,12.1510908984017
271.3,12.151073420321
271.4,12.1510545457348
271.5,12.1510348540531
271.6,12.151014632905
271.7,12.1509939438182
271.8,12.150972813554
271.9,12.1509513081258
272,12.1509300747966
272.1,12.1509100007629
272.2,12.150891040135
272.3,12.1508728769397
272.4,12.1508560285578
272.5,12.1508407401552
272.6,12.1508266013534
272.7,12.150813283933
272.8,12.1508005443553
272.9,12.1507891528703
273,12.1507788864864
273.1,12.1507693236908
273.2,12.1507603537981
273.3,12.1507519811723
273.4,12.1507446839471
273.5,12.1507380504057
273.6,12.1507324575988
273.7,12.150728338983
273.8,12.1507260579047
273.9,12.1507259663054
274,12.15072881619
274.1,12.1507338702249
274.2,12.1507412144465
274.3,12.1507509959
274.4,12.1507632100443
274.5,12.1507781981126
274.6,12.1507956502888
274.7,12.150815171404
274.8,12.1508364037638
274.9,12.1508604590798
275,12.1508854074013
275.1,12.150912353107
275.2,12.1509407588993
275.3,12.1509697709914
275.4,12.1510003360495
275.5,12.1510318966624
275.6,12.1510641442034
275.7,12.1510961120111
275.8,12.1511268125022
275.9,12.151156479381
276,12.1511849157253
276.1,12.1512119895912
276.2,12.1512375697947
276.3,12.1512616060854
276.4,12.1512839504659
276.5,12.1513045943875
276.6,12.1513230268885
276.7,12.1513390354721
276.8,12.1513525982919
276.9,12.1513633655001
277,12.1513711302753
277.1,12.1513770118596
277.2,12.151380760239
277.3,12.1513819784942
277.4,12.1513810004433
277.5,12.1513771640899
277.6,12.1513706241899
277.7,12.1513618239271
277.8,12.1513512834729
277.9,12.151338356942
278,12.1513230029005
278.1,12.1513064635911
278.2,12.1512885291781
278.3,12.1512688071593
278.4,12.1512478810011
278.5,12.1512259487966
278.6,12.1512031169389
278.7,12.1511796379379
278.8,12.1511557966225
278.9,12.1511314645849
279,12.1511070986427
279.1,12.1510829740744
279.2,12.1510588812572
279.3,12.1510345391593
279.4,12.1510101791038
279.5,12.1509863511375
279.6,12.1509629028929
279.7,12.1509397076979
279.8,12.1509166293339
279.9,12.1508935577978
280,12.1508701487457
280.1,12.1508461312626
280.2,12.1508213854687
280.3,12.1507958588334
280.4,12.150769361846
280.5,12.1507418277042
280.6,12.1507134975458
280.7,12.1506844230953
280.8,12.1506546416386
280.9,12.1506241069802
281,12.1505923833778
281.1,12.1505596363556
281.2,12.150526294068
281.3,12.1504928145204
281.4,12.1504589831698
281.5,12.1504173837294
281.6,12.1503857853417
281.7,12.1503544169071
281.8,12.1503195278161
281.9,12.1502853137082
282,12.1502505025129
282.1,12.1502160615878
282.2,12.150181867779
282.3,12.1501475403596
282.4,12.1501131800479
282.5,12.1500787482747
282.6,12.1500445218862
282.7,12.150010642301
282.8,12.1499772179513
282.9,12.149944523249
283,12.1499130162731
283.1,12.1498819670834
283.2,12.1498516846135
283.3,12.1498225821265
283.4,12.1497940498273
283.5,12.149766688268
283.6,12.1497401901391
283.7,12.1497148701276
283.8,12.1496910944814
283.9,12.1496688456908
284,12.1496478129899
284.1,12.1496282394228
284.2,12.1496090488043
284.3,12.1495918188784
284.4,12.1495798193409
284.5,12.1495680564253
284.6,12.1495577377779
284.7,12.1495494696371
284.8,12.1495435198373
284.9,12.1495397609465
285,12.1495387285602
285.1,12.1495397413241
285.2,12.1495423166467
285.3,12.149546129832
285.4,12.1495522087824
285.5,12.1495585687522
285.6,12.149565731813
285.7,12.1495735550303
285.8,12.1495816887034
285.9,12.1495898033638
286,12.1495974911802
286.1,12.149605317248
286.2,12.1496132480917
286.3,12.1496211198377
286.4,12.1496289167489
286.5,12.1496368541756
286.6,12.1496448060745
286.7,12.1496528240776
286.8,12.1496609909895
286.9,12.1496693346067
287,12.1496793042386
287.1,12.149686881749
287.2,12.1496944446955
287.3,12.1497028619279
287.4,12.1497111214919
287.5,12.1497193692112
287.6,12.1497273727933
287.7,12.1497352088684
287.8,12.1497430342063
287.9,12.1497509546558
288,12.1497588567341
288.1,12.1497667734937
