Time,AccelerometerY
563.716,-2.396484375
563.726,-2.443359375
563.736,-2.498046875
563.746,-2.56640625
563.756,-2.634765625
563.766,-2.673828125
563.776,-2.65625
563.786,-2.580078125
563.796,-2.453125
563.806,-2.294921875
563.816,-2.126953125
563.826,-1.955078125
563.835,-1.783203125
563.845,-1.6171875
563.855,-1.44921875
563.865,-1.275390625
563.875,-1.1142578125
563.885,-0.9921875
563.895,-0.9169921875
563.905,-0.8984375
563.915,-0.9541015625
563.925,-1.0888671875
563.935,-1.287109375
563.945,-1.5166015625
563.955,-1.73828125
563.965,-1.90625
563.975,-2.005859375
563.985,-2.060546875
563.995,-2.09375
564.005,-2.10546875
564.015,-2.095703125
564.025,-2.072265625
564.029,-1.796875
564.039,-1.7490234375
564.049,-1.6962890625
564.059,-1.6318359375
564.069,-1.572265625
564.079,-1.5283203125
564.089,-1.4970703125
564.099,-1.482421875
564.109,-1.4951171875
564.119,-1.548828125
564.129,-1.6572265625
564.139,-1.814453125
564.149,-1.9931640625
564.159,-2.166015625
564.169,-2.32421875
564.179,-2.4609375
564.189,-2.5703125
564.197,-2.658203125
564.207,-2.640625
564.217,-2.6015625
564.227,-2.552734375
564.237,-2.4921875
564.247,-2.423828125
564.257,-2.375
564.267,-2.375
564.277,-2.431640625
564.287,-2.50390625
564.297,-2.52734375
564.307,-2.458984375
564.317,-2.29296875
564.327,-2.05078125
564.337,-1.755859375
564.347,-1.443359375
564.357,-1.171875
564.367,-1.0029296875
564.377,-0.98291015625
564.386,-1.1220703125
564.396,-1.384765625
564.406,-1.712890625
564.416,-2.060546875
564.426,-2.400390625
564.436,-2.6875
564.446,-2.873046875
564.456,-2.935546875
564.466,-2.8984375
564.476,-2.826171875
564.486,-2.76953125
564.496,-2.74609375
564.506,-2.755859375
564.516,-2.77734375
564.526,-2.779296875
564.536,-2.736328125
564.546,-2.6484375
564.556,-2.525390625
564.566,-2.37890625
564.576,-2.228515625
564.584,-2.12109375
564.594,-2.107421875
564.604,-2.19921875
564.614,-2.3671875
564.624,-2.56640625
564.634,-2.7578125
564.644,-2.90234375
564.654,-2.962890625
564.664,-2.90234375
564.674,-2.732421875
564.684,-2.521484375
564.694,-2.328125
564.704,-2.169921875
564.714,-2.04296875
564.724,-1.939453125
564.734,-1.8486328125
564.744,-1.767578125
564.754,-1.6884765625
564.764,-1.587890625
564.774,-1.4306640625
564.778,-0.80029296875
564.788,-1.0458984375
564.798,-1.3173828125
564.808,-1.529296875
564.818,-1.66015625
564.828,-1.751953125
564.838,-1.8505859375
564.848,-1.962890625
564.858,-2.048828125
564.868,-2.072265625
564.878,-2.03515625
564.888,-1.9599609375
564.898,-1.86328125
564.908,-1.7548828125
564.918,-1.630859375
564.928,-1.4765625
564.937,-1.2900390625
564.947,-1.095703125
564.957,-0.92236328125
564.967,-0.78076171875
564.977,-0.671875
564.987,-0.61083984375
564.997,-0.64208984375
565.007,-0.814453125
565.017,-1.130859375
565.027,-1.52734375
565.037,-1.91015625
565.047,-2.212890625
565.057,-2.421875
565.067,-2.560546875
565.077,-2.654296875
565.087,-2.705078125
565.097,-2.701171875
565.107,-2.611328125
565.117,-2.421875
565.127,-2.14453125
565.136,-1.818359375
565.146,-1.51171875
565.156,-1.3310546875
565.166,-1.3671875
565.176,-1.623046875
565.186,-1.9873046875
565.196,-2.3203125
565.206,-2.556640625
565.216,-2.7265625
565.226,-2.890625
565.236,-3.052734375
565.246,-3.15625
565.256,-3.142578125
565.266,-2.9765625
565.276,-2.67578125
565.286,-2.294921875
565.296,-1.90625
565.306,-1.5615234375
565.316,-1.2978515625
565.326,-1.12890625
565.334,-1.0537109375
565.344,-1.0517578125
565.354,-1.0986328125
565.364,-1.1708984375
565.374,-1.267578125
565.384,-1.3984375
565.394,-1.5634765625
565.404,-1.724609375
565.414,-1.8427734375
565.424,-1.9033203125
565.434,-1.9228515625
565.444,-1.908203125
565.454,-1.8427734375
565.464,-1.716796875
565.474,-1.5537109375
565.484,-1.4072265625
565.494,-1.3154296875
565.504,-1.2744140625
565.514,-1.259765625
565.524,-1.26953125
565.528,-2.03515625
565.538,-2.119140625
565.548,-2.12890625
565.558,-2.078125
565.568,-1.986328125
565.578,-1.86328125
565.588,-1.71484375
565.598,-1.5390625
565.608,-1.341796875
565.618,-1.1435546875
565.628,-0.9892578125
565.638,-0.93212890625
565.648,-1.005859375
565.658,-1.197265625
565.668,-1.44921875
565.678,-1.703125
565.687,-1.9169921875
565.697,-2.068359375
565.707,-2.158203125
565.717,-2.197265625
565.727,-2.201171875
565.737,-2.181640625
565.747,-2.142578125
565.757,-2.080078125
565.767,-1.990234375
565.777,-1.8759765625
565.787,-1.7294921875
565.797,-1.5146484375
565.807,-1.259765625
565.817,-1.0830078125
565.827,-1.064453125
565.837,-1.1533203125
565.847,-1.23828125
565.857,-1.2421875
565.867,-1.1611328125
565.877,-1.0546875
565.886,-0.97705078125
565.896,-0.9208984375
565.906,-0.83984375
565.916,-0.7216796875
565.926,-0.60205078125
565.936,-0.50732421875
565.946,-0.42724609375
565.956,-0.35107421875
565.966,-0.304443359375
565.976,-0.337158203125
565.986,-0.47216796875
565.996,-0.68115234375
566.006,-0.89013671875
566.016,-1.01171875
566.026,-1.025390625
566.036,-0.998046875
566.046,-0.99169921875
566.056,-1
