Time,GPS_Heading
374.1,-166.608795166016
374.2,-168.522094726562
374.3,-170.820495605469
374.4,-172.430145263672
374.5,-175.769454956055
374.6,36.1540145874023
374.7,175.765930175781
374.8,171.433334350586
374.9,167.683258056641
375,162.300094604492
375.1,157.703750610352
375.2,152.734664916992
375.3,147.54150390625
375.4,143.253570556641
375.5,137.552185058594
375.6,134.185104370117
375.7,130.095611572266
375.8,125.476852416992
375.9,122.756439208984
376,117.681007385254
376.1,114.213600158691
376.2,110.992706298828
376.3,108.268539428711
376.4,106.726997375488
376.5,106.244010925293
376.6,106.782203674316
376.7,108.739356994629
376.8,111.887962341309
376.9,114.292518615723
377,118.902976989746
377.1,122.06128692627
377.2,126.036392211914
377.3,131.247833251953
377.4,136.091567993164
377.5,143.287551879883
377.6,148.499633789062
377.7,154.406692504883
377.8,161.702606201172
377.9,168.942977905273
378,175.484008789062
378.1,-34.385684967041
378.2,-170.805374145508
378.3,-163.202362060547
378.4,-159.309921264648
378.5,-151.409469604492
378.6,-144.848449707031
378.7,-138.903564453125
378.8,-133.092254638672
378.9,-126.768783569336
379,-119.044586181641
379.1,-113.305114746094
379.2,-107.343231201172
379.3,-101.320579528809
379.4,-96.7055206298828
379.5,-91.4610748291016
379.6,-87.1566390991211
379.7,-82.9681549072266
379.8,-78.9089813232422
379.9,-75.785041809082
380,-71.5863723754883
380.1,-68.3599395751953
380.2,-64.3586807250977
380.3,-60.1672096252441
380.4,-58.0105323791504
380.5,-55.2224006652832
380.6,-53.0461120605469
380.7,-51.5396385192871
380.8,-50.9257011413574
380.9,-50.7466773986816
381,-51.4631767272949
381.1,-52.711109161377
381.2,-54.4183044433594
381.3,-56.746898651123
381.4,-59.4109840393066
381.5,-61.6152114868164
381.6,-64.0476531982422
381.7,-67.0186233520508
381.8,-70.1430282592773
381.9,-72.4016647338867
382,-75.8223648071289
382.1,-78.591926574707
382.2,-81.6065216064453
382.3,-85.1079864501953
382.4,-88.6512908935547
382.5,-90.8761520385742
382.6,-93.1477203369141
382.7,-95.6999282836914
382.8,-98.3386459350586
382.9,-100.531929016113
383,-104.011528015137
383.1,-104.92601776123
383.2,-104.84977722168
383.3,-103.668655395508
383.4,-101.503517150879
383.5,-98.057014465332
383.6,-95.6551208496094
383.7,-92.3555603027344
383.8,-88.0161361694336
383.9,-84.2904739379883
384,-78.7588272094727
384.1,-74.2278060913086
384.2,-69.3310241699219
384.3,-64.3742065429688
384.4,-60.6638069152832
384.5,-54.3724021911621
384.6,-49.2314453125
384.7,-44.1432876586914
384.8,-39.6297187805176
384.9,-36.6875534057617
385,-32.8060989379883
385.1,-29.1640605926514
385.2,-24.7351150512695
385.3,-19.8495330810547
385.4,-16.0750560760498
385.5,-11.4151849746704
385.6,-7.43971395492554
385.7,-3.50697493553162
385.8,0.232167795300484
385.9,3.366539478302
386,6.36700677871704
386.1,8.4625129699707
386.2,10.3359746932983
386.3,11.7600774765015
386.4,12.4329242706299
386.5,12.7301568984985
386.6,12.8506813049316
386.7,12.8489933013916
386.8,12.7307481765747
386.9,12.6052799224854
387,12.5718984603882
387.1,12.4711503982544
387.2,12.4449729919434
387.3,12.5423336029053
387.4,12.6699457168579
387.5,12.800461769104
387.6,12.9544239044189
387.7,13.2123546600342
387.8,13.5186204910278
387.9,13.6825656890869
388,13.9357233047485
388.1,14.1758937835693
388.2,14.3504791259766
388.3,14.4787664413452
388.4,14.6647977828979
388.5,14.3046617507935
388.6,14.3113059997559
388.7,14.3651943206787
388.8,14.3251895904541
