Time,GyroX 
45.583,79.3400039672852
45.593,78.75
45.603,76.5800018310547
45.613,67.3400039672852
45.623,57.120002746582
45.633,61.3900032043457
45.643,55.8200035095215
45.653,32.2000007629395
45.663,15.3600006103516
45.673,19.8400001525879
45.683,21.3800010681152
45.693,14.0700006484985
45.703,13.1900005340576
45.71,4.41000032424927
45.72,12.3900003433228
45.73,15.4300003051758
45.74,8.68000030517578
45.75,1.99000012874603
45.76,-6.47000026702881
45.77,-27.8900012969971
45.78,-32.9000015258789
45.79,-12.2100009918213
45.8,-12.4900007247925
45.81,-36.7800025939941
45.82,-33.0400009155273
45.83,-11.9300003051758
45.84,-7.24000024795532
45.85,-22.6800003051758
45.86,-19.3500003814697
45.87,-12.2100009918213
45.88,-0.350000023841858
45.89,-1.6100001335144
45.9,5.28000020980835
45.909,16.310001373291
45.919,11.4400005340576
45.929,10.1100006103516
45.939,22.8200016021729
45.949,28.560001373291
45.959,22.3600006103516
45.969,19.0400009155273
45.979,28.8400020599365
45.989,34.1599998474121
45.999,30.5500011444092
46.009,27.9600009918213
46.019,29.6400012969971
46.029,30.5200023651123
46.039,22.7800006866455
46.049,16.3800010681152
46.059,16.5500011444092
46.069,-2.66000008583069
46.079,-13.3700008392334
46.089,-5.70000028610229
46.099,-8.36000061035156
46.108,-35.0700035095215
46.118,-27.7900009155273
46.128,-9.0600004196167
46.138,-1.64000010490417
46.148,-1.4300000667572
46.158,5.74000024795532
46.168,25.230001449585
46.178,24.1800003051758
46.188,19.8400001525879
46.198,35.4500007629395
46.208,37.2000007629395
46.218,17.6700000762939
46.228,15.5000009536743
46.238,22.8200016021729
46.248,6.09000015258789
46.258,-7.00000047683716
46.268,3.95000028610229
46.278,-2.06000018119812
46.288,-18.230001449585
46.298,-8.36000061035156
46.303,21.0700016021729
46.313,20.3000011444092
46.323,19.1400012969971
46.333,19.25
46.343,11.7200002670288
46.353,8.61000061035156
46.363,16.480001449585
46.373,17.9500007629395
46.383,2.27000021934509
46.393,5
46.403,16.1700000762939
46.413,5.49000024795532
46.423,-6.12000036239624
46.433,-3.67000007629395
46.443,2.17000007629395
46.453,-10.4300003051758
46.46,-17.2200012207031
46.47,-16.6599998474121
46.48,-16.3400001525879
46.49,-21.6600017547607
46.5,-7.66000032424927
46.51,2.76000022888184
46.52,-11.1300001144409
46.53,2.31000018119812
46.54,24.3900012969971
46.55,12.2800006866455
46.56,7.63000059127808
46.57,20.7200012207031
46.58,11.4400005340576
46.59,-9.6200008392334
46.6,-1.75000011920929
46.61,4.0600004196167
46.62,-12.4200010299683
46.63,-9.90000057220459
46.64,2.76000022888184
46.65,-1.00999999046326
46.659,-6.8600001335144
46.669,8.36000061035156
46.679,11.7600002288818
46.689,-3.64000010490417
46.699,13.8900003433228
46.709,20.2600002288818
46.719,-1.78000009059906
46.729,2.27000021934509
46.739,11.8300008773804
46.749,-0.630000054836273
46.759,-3.95000028610229
46.769,2.24000000953674
46.779,-4.01999998092651
46.789,-11.2700004577637
