Time,GPS_Gyro
474.2,-25.4876728057861
474.3,-22.70823097229
474.4,-20.118013381958
474.5,-18.6266307830811
474.6,-20.6316604614258
474.7,-25.5091400146484
474.8,-33.1826629638672
474.9,-42.3523368835449
475,-47.214958190918
475.1,-48.5925064086914
475.2,-49.0954246520996
475.3,-49.6611442565918
475.4,-50.7068481445312
475.5,-51.5973014831543
475.6,-48.8321228027344
475.7,-45.0686378479004
475.8,-40.790210723877
475.9,-36.1006546020508
476,-33.629280090332
476.1,-34.1990966796875
476.2,-35.8136863708496
476.3,-37.5940475463867
476.4,-38.7031440734863
476.5,-35.210521697998
476.6,-28.1143054962158
476.7,-18.8164005279541
476.8,-7.73488140106201
476.9,4.21050262451172
477,13.9293327331543
477.1,21.121166229248
477.2,27.0035057067871
477.3,32.1619110107422
477.4,37.1993675231934
477.5,40.194091796875
477.6,42.5154151916504
477.7,45.5588874816895
477.8,50.2510223388672
477.9,56.7542686462402
478,63.6658782958984
478.1,68.8537979125977
478.2,72.5384826660156
478.3,74.2545318603516
478.4,74.0390625
478.5,72.5538558959961
478.6,70.6927871704102
478.7,69.9829177856445
478.8,70.4121704101562
478.9,70.8693084716797
479,67.4542694091797
479.1,64.9268798828125
479.2,62.7460403442383
479.3,60.6353492736816
479.4,58.3661918640137
479.5,56.0692329406738
479.6,52.4294052124023
479.7,49.83642578125
479.8,48.3219566345215
479.9,46.6990051269531
480,43.9236183166504
480.1,42.6443634033203
480.2,41.662353515625
480.3,40.6503715515137
480.4,39.5043525695801
480.5,37.0251350402832
480.6,32.093921661377
480.7,26.0331268310547
480.8,19.0362720489502
480.9,11.3297510147095
481,3.90678143501282
481.1,-1.94567811489105
481.2,-5.87167835235596
481.3,-7.76609086990356
481.4,-8.42303562164307
481.5,-9.4467887878418
481.6,-12.4285221099854
481.7,-15.7333936691284
481.8,-19.1567897796631
481.9,-22.8478546142578
482,-25.4642333984375
482.1,-27.0365657806396
482.2,-28.1057662963867
482.3,-29.0087451934814
482.4,-30.1762561798096
482.5,-33.3615303039551
482.6,-35.7194290161133
482.7,-36.8416481018066
482.8,-36.1671295166016
482.9,-33.7657661437988
483,-30.8421401977539
483.1,-27.0606880187988
483.2,-21.0346622467041
483.3,-12.2827816009521
483.4,-1.66141104698181
483.5,9.42903804779053
483.6,17.8351268768311
483.7,24.1520366668701
483.8,28.4001178741455
483.9,31.2478103637695
484,34.2492141723633
484.1,38.8313980102539
484.2,43.608039855957
484.3,47.5572662353516
484.4,49.879825592041
484.5,47.4773139953613
484.6,45.3489570617676
484.7,45.2967529296875
484.8,47.1421585083008
484.9,49.081226348877
485,45.1844177246094
485.1,40.1133003234863
485.2,37.6854400634766
485.3,39.4290199279785
485.4,44.420108795166
485.5,46.7892532348633
485.6,44.0991554260254
485.7,40.5677070617676
485.8,38.2416839599609
485.9,38.0926742553711
486,38.8873023986816
486.1,39.2263221740723
486.2,38.2955131530762
486.3,35.4136276245117
486.4,30.5626564025879
486.5,22.4000015258789
486.6,13.8048439025879
486.7,6.92240619659424
486.8,2.38251399993896
486.9,-0.522802948951721
487,-2.09253549575806
487.1,-3.44066643714905
487.2,-3.61372756958008
487.3,-2.53110837936401
487.4,-0.852582931518555
487.5,0.0214348174631596
487.6,-0.530698716640472
487.7,-1.41292989253998
487.8,-1.96108639240265
487.9,-1.75611960887909
488,-1.32707917690277
488.1,-1.47192060947418
488.2,-1.78896331787109
488.3,-1.86833250522614
488.4,-1.38783419132233
488.5,-0.933634161949158
488.6,-0.878247737884521
488.7,-0.949958145618439
488.8,-0.813766598701477
488.9,-0.215841993689537
489,-0.0558894202113152
489.1,0.01199353300035
